user_input_text,category,sub_category,priority,auto_resolve,assigned_team
remote desktop gateway server unavailable afternoon,Network,Remote Access,Medium,TRUE,Network Support
issue workstation laptop experiencing random restarts update asap.,Hardware,Laptop Issue,Medium,FALSE,Hardware Support
blue screen appearing randomly different error codes reboot,Hardware,Blue Screen,High,TRUE,Hardware Support
internet speed thumba slow ide,Network,VPN Connection,High,FALSE,Network Support
dual monitor setup stopped working update shift fix this.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
unable to save files to team network drive since morning urgent.,Network,Network Drive,Low,TRUE,Network Support
need help configuring email client settings correctly today urgent.,Software,Configuration,Low,TRUE,Application Support
job function change requiring new permissions need assistance thanks.,Access,Role Change,Low,FALSE,IAM Team
issue cannot see company wifi network available networks list since morning,Network,WiFi Issue,Medium,FALSE,Network Support
internet speed slow today pages taking forever to load urgently needed fix this.,Network,Internet Slow,Medium,FALSE,Network Support
team getting account disabled error trying to login shift urgent.,Access,Account Unlock,Medium,TRUE,IAM Team
role changed to manager need updated access rights since morning,Access,Role Change,Low,FALSE,IAM Team
remote vpn access working from home network urgent.,Network,VPN Connection,High,FALSE,Network Support
team configuration file seems corrupted application start shift asap.,Software,Configuration,Low,TRUE,Application Support
issue system_service_exception causing windows to crash afternoon urgent.,Hardware,Blue Screen,High,FALSE,Hardware Support
mobile computer battery holding charge affecting work,Hardware,Laptop Issue,Medium,TRUE,Hardware Support
help laptop keeps freezing randomly normal work reboot asap.,Hardware,Laptop Issue,Low,TRUE,Hardware Support
outlook keeps crashing try to open emails since yesterday fix this.,Software,Application Crash,High,FALSE,Application Support
getting error vpn server responding trying to connect remotely shift asap.,Network,VPN Connection,High,TRUE,Network Support
support team remote desktop gateway server unavailable afternoon fix this.,Network,Remote Access,Critical,FALSE,Network Support
help cannot access certain ports due to firewall restrictions,Network,Firewall Block,High,TRUE,Network Support
sso login working showing authentication error since morning,Access,Login Failure,High,FALSE,IAM Team
proxy auto-detection failing browser shift,Network,Proxy Error,Low,TRUE,Network Support
support team print quality poor streaks pages,Hardware,Printer Error,High,FALSE,Hardware Support
help applications cannot connect corporate proxy since morning need help quickly.,Network,Proxy Error,Low,FALSE,Network Support
issue rdp connection refused remote computer update,Network,Remote Access,Low,FALSE,Network Support
domain name resolution failing intermittently update,Network,DNS Problem,Medium,FALSE,Network Support
monitor screen showing horizontal lines flickering help asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
team mouse scroll wheel working anymore help urgent.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
cannot install new software package getting error 1603 since morning fix this.,Software,Software Install,Medium,FALSE,Application Support
wireless mouse connecting to laptop via bluetooth afternoon asap.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
issue network printer responding to print commands affecting work urgent.,Hardware,Printer Error,High,TRUE,Hardware Support
heat sink seems clogged dust help fix this.,Hardware,Overheating,Medium,FALSE,Hardware Support
fan running full speed constantly noisy update,Hardware,Overheating,Critical,FALSE,Hardware Support
file access rights seem to revoked update fix this.,Access,Permission Issue,High,TRUE,IAM Team
help word document causing application to freeze afternoon asap.,Software,Application Crash,High,TRUE,Application Support
team remote vpn access working from home network need assistance asap.,Network,VPN Connection,High,FALSE,Network Support
excel application freezing crashing large files today asap.,Software,Application Crash,High,TRUE,Application Support
laptop suddenly shut turn back update assist.,Hardware,Laptop Issue,Medium,FALSE,Hardware Support
support team graphics card failure causing display artifacts shift urgent.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
application setup cannot write to program files since yesterday urgent.,Software,Software Install,Medium,FALSE,Application Support
network printer responding to print commands afternoon assist.,Hardware,Printer Error,High,TRUE,Hardware Support
latest patch causing compatibility issues software since last week,Software,Update Problem,Medium,FALSE,Application Support
getting printer found error trying to print reboot thanks.,Hardware,Printer Error,High,FALSE,Hardware Support
system thermal warning appearing frequently since last week need help quickly.,Hardware,Overheating,Medium,TRUE,Hardware Support
setup wizard closes unexpectedly installation need assistance asap.,Software,Software Install,Medium,TRUE,Application Support
support team second monitor keeps going black every minutes since yesterday,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
applications cannot connect corporate proxy thanks.,Network,Proxy Error,Low,TRUE,Network Support
team dns cache seems corrupted need to flush need assistance need help quickly.,Network,DNS Problem,Medium,TRUE,Network Support
cannot install new software package getting error 1603 since morning fix this.,Software,Software Install,Medium,TRUE,Application Support
application error aa raha hai,Software,Configuration,Low,FALSE,Application Support
support team application preferences saving properly since yesterday fix this.,Software,Configuration,Low,FALSE,Application Support
login page keeps redirecting back to login screen since yesterday need help quickly.,Access,Login Failure,High,FALSE,IAM Team
wireless keyboard keeps losing connection intermittently today asap.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
configuration file seems corrupted application start today assist.,Software,Configuration,Low,TRUE,Application Support
team ram seems faulty system showing memory errors,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help password reset link working showing expired error fix this.,Access,Password Reset,Low,TRUE,IAM Team
access needed new system onboarding reboot asap.,Access,Access Request,Low,TRUE,IAM Team
external display showing wrong aspect ratio update,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
self-service password reset portal accessible update urgent.,Access,Password Reset,Critical,FALSE,IAM Team
backup restoration failing critical files reboot asap.,Software,Data Loss,Critical,FALSE,Application Support
graphics rendering causing application slowdown since morning,Software,Performance,Low,FALSE,Application Support
application setup cannot write to program files since morning thanks.,Software,Software Install,Medium,TRUE,Application Support
mouse cursor jumping around randomly screen afternoon asap.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
getting error vpn server responding trying to connect remotely urgently needed,Network,VPN Connection,High,FALSE,Network Support
issue getting installation package could opened error need help quickly.,Software,Software Install,Medium,TRUE,Application Support
volume license key blocked software vendor update asap.,Software,License Issue,High,TRUE,Application Support
teamviewer connection failing timeout error since morning fix this.,Network,Remote Access,Medium,FALSE,Network Support
help remote desktop gateway server unavailable try to work fix this.,Network,Remote Access,High,FALSE,Network Support
xml config file syntax error preventing startup try to work,Software,Configuration,Low,TRUE,Application Support
thermal throttling reducing computer performance reboot need help quickly.,Hardware,Overheating,Critical,FALSE,Hardware Support
getting account disabled error trying to login asap.,Access,Account Unlock,Medium,FALSE,IAM Team
cannot access certain ports due to firewall restrictions since last week urgent.,Network,Firewall Block,Critical,FALSE,Network Support
password reset email going to spam folder since morning,Access,Password Reset,Low,TRUE,IAM Team
windows crashed kernel_security_check_failure error afternoon urgent.,Hardware,Blue Screen,High,FALSE,Hardware Support
cpu fan failure causing processor overheating update assist.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
website names resolving to use ip addresses since morning fix this.,Network,DNS Problem,Low,TRUE,Network Support
issue ini configuration file incorrect parameters since morning urgent.,Software,Configuration,Low,FALSE,Application Support
support team laptop charging battery icon shows red today fix this.,Hardware,Battery Issue,Low,TRUE,Hardware Support
account status showing expired system affecting work,Access,Account Unlock,Medium,TRUE,IAM Team
team cannot map network drive provided credentials since morning asap.,Network,Network Drive,Low,FALSE,Network Support
installation prerequisites met error message since last week urgent.,Software,Software Install,Medium,FALSE,Application Support
mapped network drive showing disconnected try to work asap.,Network,Network Drive,Low,TRUE,Network Support
laptop overheating automatically shutting reboot need help quickly.,Hardware,Overheating,High,FALSE,Hardware Support
getting installation package could opened error since last week,Software,Software Install,Medium,FALSE,Application Support
irql_not_less_or_equal blue screen error shift fix this.,Hardware,Blue Screen,High,TRUE,Hardware Support
requesting access to specific application role since yesterday,Access,Access Request,Low,FALSE,IAM Team
support team software conflict causing applications to malfunction reboot thanks.,Software,Compatibility,Critical,FALSE,Application Support
power adapter connected battery charging since morning urgent.,Hardware,Battery Issue,Low,FALSE,Hardware Support
team power supply unit seems to failed today asap.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help remote vpn access working from home network shift asap.,Network,VPN Connection,High,FALSE,Network Support
laptop wifi extremely slow compared to colleagues today need help quickly.,Network,WiFi Issue,Medium,FALSE,Network Support
keyboard typing wrong characters keys since yesterday urgent.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
ntfs permissions preventing file access try to work,Access,Permission Issue,High,FALSE,IAM Team
team software conflict causing applications to malfunction update need help quickly.,Software,Compatibility,Low,FALSE,Application Support
excel application freezing crashing large files reboot thanks.,Software,Application Crash,High,FALSE,Application Support
system crashing bsod multiple times today since morning thanks.,Hardware,Blue Screen,High,TRUE,Hardware Support
transferred to new team need access to resources,Access,Role Change,Low,FALSE,IAM Team
team inbound connection blocked host firewall asap.,Network,Firewall Block,Critical,FALSE,Network Support
issue wifi password prompt keeps appearing even entering correct password help assist.,Network,WiFi Issue,Medium,FALSE,Network Support
contractor account expired needs extension since last week,Access,Account Expired,Low,FALSE,IAM Team
support team application incompatible installed programs since last week need help quickly.,Software,Compatibility,Medium,FALSE,Application Support
files disappeared from shared folder sync reboot urgent.,Software,Data Loss,Critical,FALSE,Application Support
outlook keeps crashing try to open emails reboot urgent.,Software,Application Crash,High,TRUE,Application Support
help fan running full speed constantly noisy try to work need help quickly.,Hardware,Overheating,Medium,FALSE,Hardware Support
cannot access shared network drive getting access denied need assistance thanks.,Network,Network Drive,Low,TRUE,Network Support
help application setup cannot write to program files try to work asap.,Software,Software Install,Medium,FALSE,Application Support
bandwidth seems throttled slow response times need assistance thanks.,Network,Internet Slow,Medium,TRUE,Network Support
default settings causing issues need custom configuration since yesterday asap.,Software,Configuration,Low,FALSE,Application Support
requesting shared mailbox access team since morning urgent.,Access,Access Request,Low,FALSE,IAM Team
issue domain account disabled administrator fix this.,Access,Account Unlock,Medium,TRUE,IAM Team
proxy error aa raha hai,Network,VPN Connection,High,FALSE,Network Support
issue charging light blinking battery percentage increasing today need help quickly.,Hardware,Battery Issue,Low,TRUE,Hardware Support
internet connection timing frequently shift,Network,Internet Slow,Medium,FALSE,Network Support
requesting database access reporting purposes today asap.,Access,Access Request,Low,FALSE,IAM Team
forgot password cannot login to account try to work fix this.,Access,Password Reset,Medium,TRUE,IAM Team
team unable to change password getting policy error reboot,Access,Password Reset,Critical,FALSE,IAM Team
help cannot connect to vpn since morning keeps timing affecting work,Network,VPN Connection,High,FALSE,Network Support
support team adobe license showing expired even though active need assistance asap.,Software,License Issue,High,FALSE,Application Support
system rebooting automatically blue screen error need assistance thanks.,Hardware,Blue Screen,High,FALSE,Hardware Support
team getting license activation failed error code 0xc004c003 afternoon urgent.,Software,License Issue,High,FALSE,Application Support
help laptop shuts immediately unplugged since last week asap.,Hardware,Battery Issue,Low,TRUE,Hardware Support
team account lease expired cloud system,Access,Account Expired,Critical,FALSE,IAM Team
insufficient privileges to install software machine help thanks.,Access,Permission Issue,High,FALSE,IAM Team
unsaved work lost due to unexpected application crash today,Software,Data Loss,Critical,FALSE,Application Support
password change required form submitting urgently needed urgent.,Access,Password Reset,Medium,TRUE,IAM Team
help installation prerequisites met error message today assist.,Software,Software Install,Medium,TRUE,Application Support
cumulative update failing to install windows help thanks.,Software,Update Problem,Medium,FALSE,Application Support
installation prerequisites met error message update fix this.,Software,Software Install,Medium,FALSE,Application Support
keyboard typing wrong characters keys urgently needed urgent.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
team cpu temperature reaching dangerous levels according to monitoring shift urgent.,Hardware,Overheating,Low,FALSE,Hardware Support
multifunction printer scanner working since morning urgent.,Hardware,Printer Error,High,FALSE,Hardware Support
page_fault_in_nonpaged_area system crash shift,Hardware,Blue Screen,High,TRUE,Hardware Support
help configuration file seems corrupted application start need assistance fix this.,Software,Configuration,Low,FALSE,Application Support
keyboard keys working properly keys stuck since yesterday fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
help outlook keeps crashing try to open emails reboot thanks.,Software,Application Crash,High,TRUE,Application Support
getting license activation failed error code 0xc004c003 try to work urgent.,Software,License Issue,High,FALSE,Application Support
access denied aa raha hai,Access,Account Unlock,Medium,TRUE,IAM Team
smart card authentication failing login since last week asap.,Access,Login Failure,High,TRUE,IAM Team
getting invalid username password error repeatedly since last week fix this.,Access,Login Failure,High,FALSE,IAM Team
support team cannot connect to office desktop from home via remote desktop urgently needed asap.,Network,Remote Access,Critical,FALSE,Network Support
notebook battery swelling visible case need assistance urgent.,Hardware,Battery Issue,Low,TRUE,Hardware Support
floating license available seats occupied since morning urgent.,Software,License Issue,High,FALSE,Application Support
help cannot connect to office desktop from home via remote desktop urgently needed assist.,Network,Remote Access,Low,TRUE,Network Support
help corporate proxy blocking legitimate business websites fix this.,Network,Proxy Error,Low,TRUE,Network Support
help software dependencies causing version conflicts reboot,Software,Compatibility,Critical,FALSE,Application Support
support team unable to establish secure connection to corporate vpn need assistance fix this.,Network,VPN Connection,High,TRUE,Network Support
important files got deleted accidentally need recovery since last week asap.,Software,Data Loss,Critical,FALSE,Application Support
cannot check updates getting connection error shift urgent.,Software,Update Problem,Medium,FALSE,Application Support
laptop shuts immediately unplugged afternoon thanks.,Hardware,Battery Issue,Low,TRUE,Hardware Support
issue heat sink seems clogged dust today asap.,Hardware,Overheating,High,FALSE,Hardware Support
external monitor detected laptop urgently needed,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
battery showing even plugged hours since last week,Hardware,Battery Issue,Low,TRUE,Hardware Support
internet speed slow today pages taking forever to load today,Network,Internet Slow,Medium,FALSE,Network Support
biometric login recognizing fingerprint update urgent.,Access,Login Failure,High,FALSE,IAM Team
issue workstation laptop experiencing random restarts afternoon asap.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
service account certificate expired update urgent.,Access,Account Expired,Medium,FALSE,IAM Team
dns server responding error browsers help thanks.,Network,DNS Problem,Medium,TRUE,Network Support
software using much cpu making system sluggish help urgent.,Software,Performance,Low,FALSE,Application Support
internet bahut slow hai,Network,Network Drive,Low,TRUE,Network Support
need access to production environment deployment need help quickly.,Access,Access Request,Low,FALSE,IAM Team
team requesting shared mailbox access team try to work asap.,Access,Access Request,Low,FALSE,IAM Team
user account disabled due to inactivity period today urgent.,Access,Account Expired,Medium,TRUE,IAM Team
cooling fan making grinding noise reboot assist.,Hardware,Overheating,High,FALSE,Hardware Support
usb keyboard recognized computer update,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
issue cpu fan failure causing processor overheating reboot fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
lithium battery showing replace soon warning since last week,Hardware,Battery Issue,Low,TRUE,Hardware Support
position change affecting system authorizations afternoon asap.,Access,Role Change,Low,TRUE,IAM Team
program designed version windows since morning,Software,Compatibility,Critical,FALSE,Application Support
display resolution cannot changed external monitor since last week thanks.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
ssd detected bios possible drive failure affecting work urgent.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help trial version expired license purchased need assistance,Software,License Issue,High,TRUE,Application Support
help keyboard keys working properly keys stuck today asap.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
support team memory leak causing application to consume ram today need help quickly.,Software,Performance,Medium,FALSE,Application Support
support team network printer responding to print commands reboot,Hardware,Printer Error,High,TRUE,Hardware Support
team network throughput severely degraded today shift assist.,Network,Internet Slow,Medium,FALSE,Network Support
team getting account expired message trying to login since morning need help quickly.,Access,Account Expired,High,FALSE,IAM Team
stop error causing unexpected system shutdown try to work asap.,Hardware,Blue Screen,High,FALSE,Hardware Support
issue getting license activation failed error code 0xc004c003 afternoon,Software,License Issue,High,FALSE,Application Support
wifi signal strength weak desk location need assistance,Network,WiFi Issue,Medium,TRUE,Network Support
support team need role-based access updated systems need assistance,Access,Role Change,Low,TRUE,IAM Team
charging light blinking battery percentage increasing since yesterday,Hardware,Battery Issue,Low,FALSE,Hardware Support
floating license available seats occupied reboot assist.,Software,License Issue,High,TRUE,Application Support
issue permission to access required shared drive since last week need help quickly.,Access,Permission Issue,High,TRUE,IAM Team
team user account showing locked active directory try to work need help quickly.,Access,Account Unlock,Medium,TRUE,IAM Team
share permissions allowing write access shift urgent.,Access,Permission Issue,High,FALSE,IAM Team
account validity period ended today thanks.,Access,Account Expired,Low,TRUE,IAM Team
system crashing bsod multiple times today since morning urgent.,Hardware,Blue Screen,High,FALSE,Hardware Support
help getting nxdomain error valid websites afternoon fix this.,Network,DNS Problem,Medium,TRUE,Network Support
share permissions allowing write access shift thanks.,Access,Permission Issue,High,FALSE,IAM Team
software install stuck 99 complete update,Software,Software Install,Medium,TRUE,Application Support
motherboard issue causing random system restarts afternoon need help quickly.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
ui laggy unresponsive usage since yesterday thanks.,Software,Performance,Critical,FALSE,Application Support
issue unable to establish secure connection to corporate vpn affecting work asap.,Network,VPN Connection,High,FALSE,Network Support
support team monitor screen showing horizontal lines flickering try to work thanks.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
support team dual monitor setup stopped working update today,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
team network drive showing file explorer urgently needed,Network,Network Drive,Low,TRUE,Network Support
accidental data deletion from shared drive since yesterday thanks.,Software,Data Loss,Critical,FALSE,Application Support
department change requires different system access need assistance need help quickly.,Access,Role Change,Low,FALSE,IAM Team
support team display port connection working monitor since yesterday urgent.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
application running slow taking long time to respond try to work thanks.,Software,Performance,Medium,FALSE,Application Support
fan running full speed constantly noisy since morning thanks.,Hardware,Overheating,Low,TRUE,Hardware Support
issue cannot access certain ports due to firewall restrictions update assist.,Network,Firewall Block,High,FALSE,Network Support
proxy settings application need to configured affecting work assist.,Software,Configuration,Low,FALSE,Application Support
application incompatible installed programs try to work fix this.,Software,Compatibility,Low,TRUE,Application Support
account locked multiple failed login attempts afternoon thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
issue system thermal warning appearing frequently afternoon asap.,Hardware,Overheating,Medium,TRUE,Hardware Support
team shared folder permissions seem to changed thanks.,Network,Network Drive,Low,FALSE,Network Support
team wireless printer connecting to network shift,Hardware,Printer Error,High,FALSE,Hardware Support
support team windows crashed kernel_security_check_failure error since morning asap.,Hardware,Blue Screen,High,FALSE,Hardware Support
issue notebook battery swelling visible case since morning thanks.,Hardware,Battery Issue,Low,FALSE,Hardware Support
team need permission to access confidential documents since yesterday asap.,Access,Access Request,Low,FALSE,IAM Team
wifi shows connected internet access device since last week urgent.,Network,WiFi Issue,Medium,TRUE,Network Support
graphics rendering causing application slowdown shift thanks.,Software,Performance,Low,FALSE,Application Support
issue installation prerequisites met error message fix this.,Software,Software Install,Medium,TRUE,Application Support
help feature update breaking existing applications need assistance assist.,Software,Update Problem,Medium,TRUE,Application Support
team biometric authentication failing device need assistance assist.,Access,MFA Problem,Medium,TRUE,IAM Team
performance degraded significantly recent update urgently needed fix this.,Software,Performance,High,FALSE,Application Support
authenticator app generating valid codes assist.,Access,MFA Problem,Medium,TRUE,IAM Team
mouse click kaam nahi kar raha,Hardware,Laptop Issue,High,TRUE,Hardware Support
cannot login to system even correct credentials urgently needed,Access,Login Failure,High,FALSE,IAM Team
issue firewall exception rule working expected since morning,Network,Firewall Block,Low,FALSE,Network Support
cannot connect to corporate wireless network reboot urgent.,Network,WiFi Issue,Medium,TRUE,Network Support
battery health degraded significantly need replacement since last week,Hardware,Battery Issue,Low,FALSE,Hardware Support
battery health degraded significantly need replacement,Hardware,Battery Issue,Low,TRUE,Hardware Support
help need help configuring email client settings correctly afternoon urgent.,Software,Configuration,Low,TRUE,Application Support
keyboard keys working properly keys stuck afternoon fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
issue data corruption project files cannot open,Software,Data Loss,Critical,FALSE,Application Support
support team dns cache seems corrupted need to flush afternoon asap.,Network,DNS Problem,Medium,TRUE,Network Support
team high disk usage application affecting system,Software,Performance,Low,FALSE,Application Support
service account certificate expired need assistance fix this.,Access,Account Expired,High,FALSE,IAM Team
support team getting limited connectivity error wifi since morning try to work thanks.,Network,WiFi Issue,Medium,FALSE,Network Support
keyboard la konja keys work aagala,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
temporary assignment needs additional access need assistance thanks.,Access,Role Change,Low,FALSE,IAM Team
previous role access needs to revoked since morning,Access,Role Change,Low,FALSE,IAM Team
rdp connection refused remote computer since yesterday,Network,Remote Access,Medium,TRUE,Network Support
network drive access extremely slow files open need assistance,Network,Network Drive,Low,TRUE,Network Support
need elevated permissions to complete task assist.,Access,Permission Issue,High,FALSE,IAM Team
smart card authentication failing login,Access,Login Failure,High,FALSE,IAM Team
graphics card failure causing display artifacts reboot fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help subscription license showing expired status reboot urgent.,Software,License Issue,High,TRUE,Application Support
cannot access account showing authentication failure affecting work,Access,Account Unlock,Medium,TRUE,IAM Team
network latency extremely high cannot use video conferencing since morning urgent.,Network,Internet Slow,Medium,TRUE,Network Support
acl permissions need to updated access affecting work,Access,Permission Issue,High,FALSE,IAM Team
help update installation failed rolling back changes reboot,Software,Update Problem,Medium,TRUE,Application Support
cpu temperature reaching dangerous levels according to monitoring need assistance,Hardware,Overheating,Low,TRUE,Hardware Support
support team getting printer found error trying to print affecting work need help quickly.,Hardware,Printer Error,High,FALSE,Hardware Support
laptop booting stuck black screen affecting work fix this.,Hardware,Laptop Issue,High,FALSE,Hardware Support
support team remote access session keeps getting disconnected afternoon thanks.,Network,Remote Access,High,FALSE,Network Support
software using much cpu making system sluggish afternoon,Software,Performance,Low,TRUE,Application Support
getting invalid otp error even correct code since morning fix this.,Access,MFA Problem,Medium,TRUE,IAM Team
issue cannot see company wifi network available networks list need assistance,Network,WiFi Issue,Medium,TRUE,Network Support
team user account disabled due to inactivity period affecting work asap.,Access,Account Expired,High,TRUE,IAM Team
configuration file seems corrupted application start update need help quickly.,Software,Configuration,Low,FALSE,Application Support
support team mobile computer battery holding charge since yesterday assist.,Hardware,Laptop Issue,High,TRUE,Hardware Support
video conferencing app crashing meetings since morning need help quickly.,Software,Application Crash,High,FALSE,Application Support
wireless printer connecting to network afternoon,Hardware,Printer Error,High,FALSE,Hardware Support
cannot connect to office desktop from home via remote desktop afternoon asap.,Network,Remote Access,Medium,TRUE,Network Support
network storage accessible from workstation since yesterday thanks.,Network,Network Drive,Low,TRUE,Network Support
team getting access denied error trying to open folder since yesterday urgent.,Access,Permission Issue,High,FALSE,IAM Team
help remote desktop gateway server unavailable fix this.,Network,Remote Access,High,FALSE,Network Support
help update history showing failed installations reboot need help quickly.,Software,Update Problem,Medium,TRUE,Application Support
help account status showing expired system reboot urgent.,Access,Account Unlock,Medium,FALSE,IAM Team
display port connection working monitor afternoon assist.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
need access to shared folder new project today,Access,Access Request,Low,TRUE,IAM Team
password expired cannot set new one shift,Access,Account Expired,Critical,FALSE,IAM Team
sms two-factor codes delivered today fix this.,Access,MFA Problem,Medium,FALSE,IAM Team
support team laptop overheating automatically shutting since morning,Hardware,Overheating,Critical,FALSE,Hardware Support
support team mfa push notification reaching mobile app help thanks.,Access,MFA Problem,Medium,TRUE,IAM Team
password change required form submitting since yesterday thanks.,Access,Password Reset,Low,TRUE,IAM Team
adobe license showing expired even though active afternoon fix this.,Software,License Issue,High,FALSE,Application Support
internet keeps buffering important client calls urgently needed asap.,Network,Internet Slow,Medium,FALSE,Network Support
issue notebook computer recognizing power adapter afternoon,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
help external display showing wrong aspect ratio fix this.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
getting limited connectivity error wifi since morning,Network,WiFi Issue,Medium,TRUE,Network Support
issue vpn connection drops every minutes frustrating afternoon need help quickly.,Network,VPN Connection,High,TRUE,Network Support
support team multi-factor authentication keeps failing repeatedly try to work asap.,Access,MFA Problem,Medium,FALSE,IAM Team
laptop romba heat aaguthu,Hardware,Printer Error,High,FALSE,Hardware Support
outlook crash aaguthu,Software,Software Install,Medium,FALSE,Application Support
requesting access to specific application role affecting work,Access,Access Request,Low,FALSE,IAM Team
issue password expired cannot set new one urgently needed urgent.,Access,Account Expired,Critical,FALSE,IAM Team
issue previous role access needs to revoked help thanks.,Access,Role Change,Low,TRUE,IAM Team
system crashing bsod multiple times today since yesterday urgent.,Hardware,Blue Screen,High,FALSE,Hardware Support
cisco anyconnect vpn stuck connecting status shift need help quickly.,Network,VPN Connection,High,TRUE,Network Support
getting account disabled error trying to login urgently needed need help quickly.,Access,Account Unlock,Medium,TRUE,IAM Team
team bsod memory management error keeps occurring afternoon fix this.,Hardware,Blue Screen,High,TRUE,Hardware Support
laptop battery draining fast barely lasts hour shift thanks.,Hardware,Battery Issue,Low,TRUE,Hardware Support
system crashing bsod multiple times today today,Hardware,Blue Screen,High,TRUE,Hardware Support
laptop wifi extremely slow compared to colleagues try to work,Network,WiFi Issue,Medium,TRUE,Network Support
support team user account showing locked active directory update thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
irql_not_less_or_equal blue screen error reboot assist.,Hardware,Blue Screen,High,TRUE,Hardware Support
team acl permissions need to updated access today need help quickly.,Access,Permission Issue,High,TRUE,IAM Team
getting access denied error trying to open folder since morning urgent.,Access,Permission Issue,High,FALSE,IAM Team
msi installer failing unknown error code asap.,Software,Software Install,Medium,FALSE,Application Support
getting account expired message trying to login affecting work fix this.,Access,Account Expired,Low,FALSE,IAM Team
help software dependencies causing version conflicts afternoon fix this.,Software,Compatibility,High,TRUE,Application Support
support team need access to shared folder new project today urgent.,Access,Access Request,Low,FALSE,IAM Team
external monitor detected laptop urgently needed assist.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
software using much cpu making system sluggish update asap.,Software,Performance,Critical,FALSE,Application Support
help insufficient privileges to install software machine need assistance,Access,Permission Issue,High,FALSE,IAM Team
biometric authentication failing device need assistance thanks.,Access,MFA Problem,Medium,TRUE,IAM Team
issue touchpad responding to gestures clicks shift,Hardware,Laptop Issue,High,TRUE,Hardware Support
account status showing expired system today,Access,Account Unlock,Medium,TRUE,IAM Team
thermal throttling reducing computer performance today thanks.,Hardware,Overheating,Low,FALSE,Hardware Support
support team software conflict causing applications to malfunction reboot assist.,Software,Compatibility,Medium,FALSE,Application Support
hdmi monitor showing signal message update,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
account locked multiple failed login attempts need assistance,Access,Account Unlock,Medium,TRUE,IAM Team
software installation failing insufficient privileges error help thanks.,Software,Software Install,Medium,TRUE,Application Support
corporate vpn disconnecting frequently calls update asap.,Network,VPN Connection,High,TRUE,Network Support
team fan running full speed constantly noisy,Hardware,Overheating,Low,FALSE,Hardware Support
slow query performance database application shift need help quickly.,Software,Performance,Medium,TRUE,Application Support
program designed version windows today,Software,Compatibility,Low,FALSE,Application Support
help internet connection timing frequently help,Network,Internet Slow,Medium,FALSE,Network Support
nanna vpn connect aagta illa,Network,Network Drive,Low,TRUE,Network Support
laptop booting stuck black screen shift assist.,Hardware,Laptop Issue,Low,TRUE,Hardware Support
hard drive making clicking noises suspect failure shift asap.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
graphics card failure causing display artifacts since last week,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
need help configuring email client settings correctly since morning asap.,Software,Configuration,Low,TRUE,Application Support
ntfs permissions preventing file access urgently needed,Access,Permission Issue,High,FALSE,IAM Team
getting remote computer available error try to work,Network,Remote Access,High,FALSE,Network Support
issue internal sites accessible name help fix this.,Network,DNS Problem,Low,TRUE,Network Support
support team dns cache seems corrupted need to flush reboot,Network,DNS Problem,High,FALSE,Network Support
issue dns query timeouts causing browsing issues affecting work urgent.,Network,DNS Problem,High,FALSE,Network Support
word document causing application to freeze urgently needed urgent.,Software,Application Crash,High,FALSE,Application Support
team getting printer found error trying to print help thanks.,Hardware,Printer Error,High,FALSE,Hardware Support
support team account status showing expired system afternoon assist.,Access,Account Unlock,Medium,TRUE,IAM Team
